"Reference","Value","Footprint","Datasheet","Qty","DNP"
"LD2,LD3,LD4,LD5","LED_KINGBRIGHT_KPH-1608CGCK","ICs And Semiconductors SMD:LED_KINGBRIGHT_KPH-1608CGCK","\\cern.ch\dfs\Applications\Altium\Datasheets\LED_KINGBRIGHT_KPH-1608CGCK.pdf","4",""
"Q1","XTAL_25MHZ_EPSON_TSX-3225_25.0000MF10Z-AC","ICs And Semiconductors SMD:XTAL_EPSON_TSX-3225","\\cern.ch\dfs\Applications\Altium\Datasheets\XTAL_EPSON_TSX-3225.pdf","1","DNP"
"Q2","XTAL_12MHZ_TXC_7A-12.000MAAJ-T","ICs And Semiconductors SMD:XTAL_TXC_7A","\\cern.ch\dfs\Applications\Altium\Datasheets\XTAL_TXC_7A.pdf","1",""
"Q3","XTAL_25MHZ_TXC_8Y-25.000MAAJ-T","ICs And Semiconductors SMD:XTAL_TXC_8Y","\\cern.ch\dfs\Applications\Altium\Datasheets\XTAL_TXC_8Y.pdf","1",""
"Q4","DMP3013SFV","Package_SON:Diodes_PowerDI3333-8","https://www.diodes.com/assets/Datasheets/DMP3013SFV.pdf","1",""
"R1","R0603_6K65_0.1%_0.063W_10PPM","Resistors SMD:RESC1608X55N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0603_Tyco_RN73.pdf","1",""
"R2,R75,R76,R77,R81,R98,R148,R155,R156,R157,R158,R161,R163","R0402_10K_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","13",""
"R3","R0402_2K49_1%_0.063W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_VISHAY_CRCW e3.pdf","1",""
"R4,R5,R6,R7,R8,R9","R0402_22R_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","6",""
"R10,R11,R12,R13,R14,R15,R16,R17,R18,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R73,R79,R85,R86,R87,R122,R139,R140,R141,R142,R143,R144,R145,R146","R0402_4K7_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","51",""
"R19,R20","R0402_330R_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","2",""
"R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R159","R0402_40R2_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_VISHAY_CRCW e3.pdf","24",""
"R72,R99,R102,R103,R120,R121","R0402_240R_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","6",""
"R74,R83","R0402_2K2_1%_0.0625W_100PPM","RESC1005X40N,Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","2",""
"R78,R152","R0402_12K_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","2",""
"R80,R82","R0402_5K1_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","2",""
"R84,R88,R89,R90,R126,R128,R132,R136,R149,R150,R151","R0402_1K_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","11",""
"R91,R94","R0805_135K_0.1%_0.1W_25PPM_KOA_RN73R2ATTD1353B25","Resistors SMD:RESC2012X60N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0805_KOA_RN73R.pdf","2",""
"R92,R93,R95,R96,R97,R100,R101,R147,R162","R0402_30K_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","9",""
"R104,R105,R106,R107,R108,R109,R110,R111,R112,R153,R160","R0402_0R_JUMPER","RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","11",""
"R113,R116","R0402_510R_0.1%_0.0625W_10PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_PANASONIC_ERA.pdf","2",""
"R114,R115,R117","R0402_100R_1%_0.1W_100PPM","RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_PANASONIC_ERJ2RK.pdf","3",""
"R118,R119","R0402_200R_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","2",""
"R123,R129,R133,R137","R0402_140R_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","4",""
"R124,R130,R134,R138","R0402_845R_0.1%_0.063W_25PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_TYCO_CPF.pdf","4",""
"R125,R127,R131,R135","R0402_2K32_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","4",""
"R154,R164,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175","R0402_100K_1%_0.0625W_100PPM","Resistors SMD:RESC1005X40N","\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf","13",""
"SW1","SW_DIP_x01","Switches:SW_OMRON_A6SN-1101","~","1",""
"T1,T2,T3","BSS138LT1G","ICs And Semiconductors SMD:SOT95P240X110-3N","\\cern.ch\dfs\Applications\Altium\Datasheets\BSS138LT1G.pdf","3",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14","TestPoint","TestPoint:TestPoint_Pad_D1.5mm,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~","14",""
"U1","XC7A35T-CSG325","Package_BGA:Xilinx_CSG325","","1",""
"U2","MT41K128M16JT-125:k","Package_BGA:FBGA-96_8x14mm_Layout9x16_P0.8mm","https://www.alliancememory.com/wp-content/uploads/pdf/ddr3/4GB-AS4C256M16D3.pdf","1",""
"U3","Si5351A-B-GT","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf","1",""
"U4,U5,U6,U10,U11","TPSM863257RDXR","VREG_TPSM863257RDXR","","5",""
"U7","RTL8211F-CG","ICs And Semiconductors SMD:QFN40P500X500X80-41N-S360","","1",""
"U8","TLV62565DBV","ICs And Semiconductors SMD:SOT95P280X145-5N","","1",""
"U9","REF3012","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/ref3033.pdf","1",""
"U12","LP5951MF-3.0/NOPB","ICs And Semiconductors SMD:SOT95P284X122-5N","","1",""
"U13","LM336M-2.5","ICs And Semiconductors SMD:SOIC127P600X175-8N","","1",""
"U14,U15","DAC8550IDGK","ICs And Semiconductors SMD:SOP65P490X110-8N","","2",""
"U16","CDCM61004RHB","ICs And Semiconductors SMD:QFN50P500X500X100-33N-S355","","1",""
"U17,U19","TCA9535RTWR","ICs And Semiconductors SMD:QFN50P400X400X80-25N-S245","","2",""
"U18","TLV77325PDBVR","Package_TO_SOT_SMD:SOT-23-5","","1",""
"U20","RT9045AGSP / AP2303","ICs And Semiconductors SMD:SOIC127P600X168-9N-S230","","1",""
"U21","FT2232HQ","ICs And Semiconductors SMD:QFN50P900X900X100-65N-S445","\\cern.ch\dfs\Applications\Altium\Datasheets\FT2232HQ.pdf","1",""
"U22","93C46B-I_SN","ICs And Semiconductors SMD:SOIC127P600X175-8N","\\cern.ch\dfs\Applications\Altium\Datasheets\93C46B-ISN.pdf","1",""
"U23","NCV59801CML120TCG","ICs And Semiconductors SMD:SON65P300X300X100-9N-R170X245","","1",""
"U24,U25","SN74LVC1G07DBV","ICs And Semiconductors SMD:SOT95P280X145-5N","\\cern.ch\dfs\Applications\Altium\Datasheets\SN74LVC1G07DBV.pdf","2",""
"U26","PCA9546ARGV","ICs And Semiconductors SMD:QFN65P400X400X100-17N-S225","\\cern.ch\dfs\Applications\Altium\Datasheets\PCA9546A.pdf","1",""
"U27","S25FL128SAGMFI001","ICs And Semiconductors SMD:SOIC127P1030X265-16N","\\cern.ch\dfs\Applications\Altium\Datasheets\S25FL128SAGMFI001.pdf","1",""
"U28","24AA256UID-I_ST","SOP65P640X120-8N","","1",""
"Y1","OSC_25MHZ_RAKON_IVT3205CR","ICs And Semiconductors SMD:OSC_ABRACON_ASEMPC","","1",""
"Y2","VM53S3-25.000-2.5/-30+75","ICs And Semiconductors SMD:OSCCC320X500X160-4N","","1",""
"Y3","OSC_20MHZ_IQD_LFVCXO026156","ICs And Semiconductors SMD:OSC_IQD_CFPV-45","","1",""
