Designator,Mid X,Mid Y,Rotation,Layer
U18,78.364285,-70.358,90.0,top
U19,74.604285,-80.758,90.0,bottom
U2,106.864285,-106.158,0.0,top
U20,106.564285,-123.258,90.0,top
U21,40.114285,-105.908,0.0,top
U22,29.364285,-100.788,270.0,bottom
U23,85.030285,-89.533,0.0,top
U24,49.939285,-110.808,270.0,top
U25,54.764285,-110.808,270.0,top
U26,101.064285,-48.658,0.0,top
U27,106.564285,-63.058,270.0,top
U28,95.564285,-59.858,180.0,top
U3,81.964285,-68.558,180.0,top
U4,95.214285,-100.6105,180.0,top
U5,61.464285,-104.008,180.0,top
U6,44.864285,-115.9455,180.0,top
U7,57.264285,-94.548,270.0,top
U8,27.964285,-99.758,0.0,top
U9,102.864285,-93.758,0.0,bottom
Y2,77.214285,-103.208,0.0,top
Y3,91.464285,-110.858,270.0,top
Y5,36.164285,-102.358,90.0,bottom
Y6,81.914285,-63.083,180.0,top
