Designator,Footprint,Quantity,Value,LCSC Part #
U16,QFN50P500X500X100-33N-S355,1,CDCM61002RHBR,C524817
U17,QFN50P400X400X80-25N-S245,1,TCA9555RTWR,C140277
U18,SOT-23-5,1,TLV77325PDBVR,C34443490
U19,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,1,LD39100PUR,C155664
U2,FBGA-96_9x14mm_Layout9x16_P0.8mm,1,MT41K512M16HA-125_E / MT41K512M16VRP-107 IT:P,C2831669
U20,SOIC127P600X168-9N-S230,1,RT9045AGSP / AP2303,C3249960
U21,QFN50P900X900X100-65N-S445,1,FT2232HQ,C193662
U22,SOIC127P600X175-8N,1,93LC46B_SN,C1348804
U23,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,1,LD39100PU12RY,C2970914
"U24, U25",SOT95P280X145-5N,2,SN74LVC1G07DBV,C7829
U26,QFN65P400X400X100-17N-S225,1,PCA9546ARGV,C2649403
U27,SOIC127P1030X265-16N,1,W25Q128JVFIQ,C111478
U28,SOP65P640X120-8N,1,24AA256UID-I_ST,C619605
U3,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,C504891
U7,QFN40P500X500X80-41N-S360,1,RTL8211F-CG,C187932
U8,SOT95P280X145-5N,1,TLV62565DBV,C87122
U9,SOT-23,1,REF3012,C34674
Y2,OSC_SIT5001AC-GE-33VQ-25.000000X,1,VM53S3-25.000-2.5/-30+75,
Y3,OSC_IQD_CFPV-45,1,OSC_20MHZ_IQD_LFVCXO026156,C21547610
Y5,XTAL_TXC_7A,1,X503212MSB2GI,C112573
Y6,XTAL_ABM8W-25.0000MHZ-8-D1X-T3,1,ABM8W-25.0000MHZ-8-D1X-T3,C6854298
